Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,94615046,,,,94615046,,132993530,,,0
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,26782325,,,,26782325,,42832135,,,6
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,124,Canada,CAN,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,55620,,,,55620,,86640,,,0
H4,2014,2014,2014,6,1,1,Import,392,Japan,JPN,156,China,CHN,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,92388976,,,,92388976,,129375362,,,0
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,156,China,CHN,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,107236,,,,107236,,760539,,,0
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,276,Germany,DEU,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,1925,,,,1925,,3078,,,6
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,360,Indonesia,IDN,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,26770,,,,26770,,51597,,,0
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,25305924,,,,25305924,,38463955,,,0
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,458,Malaysia,MYS,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,492,,,,492,,55836,,,0
H4,2014,2014,2014,6,1,1,Import,392,Japan,JPN,490,"Other Asia, nes",,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,1995000,,,,1995000,,3181715,,,0
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,490,"Other Asia, nes",,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,2098,,,,2098,,805365,,,0
H4,2014,2014,2014,6,1,1,Import,392,Japan,JPN,699,India,IND,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,175120,,,,175120,,285331,,,0
H4,2014,2014,2014,6,1,1,Import,392,Japan,JPN,702,Singapore,SGP,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,55950,,,,55950,,151122,,,0
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,702,Singapore,SGP,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,36282,,,,36282,,161796,,,0
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,826,United Kingdom,GBR,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,99,,,,99,,36771,,,0
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,842,USA,USA,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,1245879,,,,1245879,,2406558,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,95984305,,,,95984305,,119563916,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,2180442,,,,2180442,,5501654,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,124,Canada,CAN,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,18,,,,18,,6398,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,64076377,,,,64076377,,72722450,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,1421868,,,,1421868,,3453133,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,276,Germany,DEU,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,174,,,,174,,16118,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,3760,,,,3760,,5672,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,360,Indonesia,IDN,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,18,,,,18,,6151,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,381,Italy,ITA,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,1,,,,1,,7,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,31051183,,,,31051183,,45520330,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,373,,,,373,,10868,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,458,Malaysia,MYS,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,219586,,,,219586,,429318,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,484,Mexico,MEX,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,14000,,,,14000,,58380,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,353,,,,353,,8638,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,608,Philippines,PHL,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,9,,,,9,,2220,,,0
H4,2014,2014,2014,6,1,2,Export,410,Rep. of Korea,KOR,682,Saudi Arabia,SAU,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,364,,,,364,,37750,,,0
H4,2014,2014,2014,6,1,1,Import,410,Rep. of Korea,KOR,699,India,IND,,,,,,,,281111,Hydrogen fluoride (hydrofluoric acid),8,Weight in kilograms,220800,,,,220800,,202492,,,0
