Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10190,Mules and hinnies; live,5,Number of items,2,,,,26,,1405,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10611,"Mammals; live, primates",5,Number of items,49,,,,170,,11781,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10614,"Mammals; live, rabbits and hares",5,Number of items,114,,,,286,,74132,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",5,Number of items,111933,,,,27356,,3816777,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10620,Reptiles; live (including snakes and turtles),5,Number of items,402,,,,19,,20027,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10649,"Insects; live, other than bees",5,Number of items,10,,,,1,,20,,,4
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",5,Number of items,513,,,,19,,14403,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30111,"Fish; live, ornamental, freshwater",8,Weight in kilograms,473,,,,473,,87199,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30119,"Fish; live, ornamental, other than freshwater",8,Weight in kilograms,1474,,,,1474,,371251,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30194,"Fish; live, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",8,Weight in kilograms,3460,,,,3460,,245689,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30199,"Fish; live, n.e.c. in heading 0301",8,Weight in kilograms,6793742,,,,6793742,,50717844,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30229,"Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,270,,,,270,,339,,,0
