Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,854232,Electronic integrated circuits; memories,5,Number of items,2025651590,,,,3156395,,2507888314,,,4
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,854232,Electronic integrated circuits; memories,5,Number of items,6296177867,,,,5508293,,8403706574,,,4
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,36,Australia,AUS,,,,,,,,854232,Electronic integrated circuits; memories,5,Number of items,30168,,,,150,,228152,,,4
H4,2014,2014,2014,6,1,1,Import,392,Japan,JPN,40,Austria,AUT,,,,,,,,854232,Electronic integrated circuits; memories,5,Number of items,2750,,,,29,,22888,,,4
H4,2014,2014,2014,6,1,1,Import,392,Japan,JPN,56,Belgium,BEL,,,,,,,,854232,Electronic integrated circuits; memories,5,Number of items,911,,,,5,,4065,,,4
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,56,Belgium,BEL,,,,,,,,854232,Electronic integrated circuits; memories,5,Number of items,52898,,,,75,,113713,,,4
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,76,Brazil,BRA,,,,,,,,854232,Electronic integrated circuits; memories,5,Number of items,7656815,,,,1956,,2984356,,,4
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,100,Bulgaria,BGR,,,,,,,,854232,Electronic integrated circuits; memories,5,Number of items,27000,,,,64,,97763,,,4
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,120,Cameroon,CMR,,,,,,,,854232,Electronic integrated circuits; memories,5,Number of items,700,,,,1,,1974,,,4
H4,2014,2014,2014,6,1,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,854232,Electronic integrated circuits; memories,5,Number of items,98549,,,,4413,,3506318,,,4
